caseNumber,subject,product,topScore,answerability,screenshot_dependent,matched_doc,gap_topic_slug,gap_doc_spec,rationale
00034002,Fwd: Error on SDocs,S-Docs,0.303,corpus_gap,false,,regex-too-complicated-large-related-list,"A known-error doc explaining the 'Regex too complicated' failure in SDCreate3/createAttachments when a template's related-list query returns thousands of rows (~1,464+ products), what limit it reflects, and mitigations such as job splitters or query filtering.","The error and reproduction threshold are fully stated in text and generalizable as a known processing limit, but no corpus doc covers the 'Regex too complicated' error (Job Splitters/SplitEvery docs address CPU limits, not this)."
00033941,Unable to generate ICA document in Salesforce,S-Docs,0.4785,retrieval_fn,false,Math Tags Null Value Error: Ending Position Out of Bounds (22) Stack Invalid Dou,,,"The reported 'Ending position out of bounds: 4' in SDTemplateController/sdcreate3 is the exact error family covered by the math-tags null-value known-error doc (null numeric field on this record), yet the pipeline declined at HIGH retrieval evidence."
00033722,Unable to clone S-sign template,S-Sign,0.3696,corpus_gap,false,,clone-ssign-template-component-signer-profiles,"A known-error doc for CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY / 'component(s) have at least 1 signer profile that is not defined on the parent template' when cloning an S-Sign-enabled parent template with components, explaining why the clone loses profile definitions and how to redefine them.","Full deterministic error text is in the case and the clone/signer-profile mismatch is a generalizable known error, but no corpus doc covers signer-profile errors during template cloning (the clone/migrate doc covers export-zip migration only)."
00033820,Critical Issue - error about calling a controller while testing out signing a do,S-Docs,0.2437,not_kb_answerable,true,,,,The actual controller error message exists only in an embedded image; without it the case is an org-specific sandbox debugging request that no doc can answer.
00034115,Following up on case 00033644,S-Docs;S-Sign,0.2188,not_kb_answerable,false,,,,"Asks for a version-compatible alternative to the solution given in prior case 00033644 whose underlying issue is never stated, so the answer depends entirely on case history not present in the text."
00033842,can't download completed document - Ashley Van Buren,S-Docs,0.1172,not_kb_answerable,true,,,,One-line 'unable to download this document' with the only actionable detail in a screenshot not present in the text.
00033995,Issue with Sending S-Sign Emails,S-Docs,0.2461,not_kb_answerable,true,,,,"The S-Sign email send error is only in an embedded image, the customer already verified the domain, and they granted dev-org access for investigation - org-specific debugging."
00033975,S-Sign Salesforce Errors,S-Docs,0.5497,retrieval_fn,true,Create and Send Signature Requests,,,"The core ask - sending a one-off document for e-signature without building a template - is exactly the templateless signature-request workflow covered by 'Create and Send Signature Requests' (add document, define recipients, request signature), but the pipeline declined."
00034170,Document Generation into PFD,S-Docs,0.5016,retrieval_fn,true,Generated PDF looks different from the original Word document,,,"DOCX template rendered as PDF loses spacing/color/formatting - precisely the DOCX-to-PDF fidelity topic of 'Generated PDF looks different from the original Word document', which retrieval failed to surface."
00033723,Customer Announcement for SEESIT,S-Docs,0.1108,not_kb_answerable,false,,,,Substack marketing newsletter about a Salesforce Revenue Cloud rollout; junk with no S-Docs question.
00034176,Ongoing SDocs Template Issue and New S-Sign Error,S-Sign,0.5068,corpus_gap,false,,ssign-required-field-missing-version-data,"A known-error doc for [SSException] REQUIRED_FIELD_MISSING [Version Data] in ssign:sscreateenvelope when sending a generated document for signature, explaining the cause (missing document version/file data) and the fix.","The exact deterministic S-Sign envelope-creation error is in the text and is a generalizable known error, but no corpus doc addresses REQUIRED_FIELD_MISSING [Version Data]."
00034194,Beyond SOC2: The Autonomous Governance Standard for the Modern Back Office,,0.0949,not_kb_answerable,false,,,,Substack thought-leadership newsletter about compliance; junk with no product question.
00034065,How to show 2 different fields based on a condition in a related list table colu,S-Docs,0.5038,retrieval_fn,false,How To: Display Different Values Based on Conditions,,,"Showing one of two fields in a related-list table column based on another field's value is the conditional-rendering-in-table-cells pattern covered by 'How To: Display Different Values Based on Conditions', but the model declined."
00033897,Is S-docs affected in the upcoming Salesforce Summer 2026 release: Use Visualfor,S-Docs,0.6926,corpus_gap,false,,salesforce-vf-pdf-rendering-update-impact,"A doc stating whether/how S-Docs is affected by the Salesforce Summer 2026 Visualforce PDF rendering service update (serif-to-sans-serif default font, Arial Unicode MS, Blob.toPdf changes), including any minimum S-Docs version and template adjustments needed.","A product-compatibility statement is fully docable and the same question recurs across customers (cf. 00033910), but the corpus only has generic font/PDF-rendering docs, none addressing this release update."
00033718,Access to Sdocs,S-Docs,0.3991,not_kb_answerable,false,,,,"A request to be granted template access in their HubSpot-connected S-Docs account is an account/permission provisioning action specific to their account setup, not resolvable by a self-contained doc."
00033716,sending reminders to sign,S-Docs,0.5063,corpus_gap,false,,hubspot-signature-reminders,"A doc explaining how to send or schedule reminder emails for open signature requests in S-Docs for HubSpot (from the HubSpot ticket), or stating that the feature is unavailable there.","A docable, generalizable feature question, but the only reminder/resend doc in the corpus is Salesforce/S-Sign envelope-specific and does not cover the HubSpot edition the customer explicitly asks about."
00034071,Re: Help with Editing RA,S-Docs,0.2026,corpus_gap,true,,deleted-signer-profile-locked-inputs,"A known-error doc on recovering a template whose sections/input fields became un-editable after an assigned signer profile was deleted, covering how to reassign the inputs to a valid profile or restore editability.","The scenario (deleted signer profile leaves sections locked) is clearly described in text and generalizable, but no corpus doc covers this recovery path; the exact error text is only in a screenshot."
00033815,Error when generating documents - List of SObjects is empty. Error is in express,S-Docs,0.6192,corpus_gap,false,,mass-merge-list-of-sobjects-empty,"A known-error doc for 'List of SObjects is empty ... {!printDoc} ... page sdoc:sdjobcontact' when clicking Start Mail Merge / Combine All from a list view, explaining the job-completion timing cause and the refresh/re-run workaround.","The full error and reproduction are in the text and it is a recurring generalizable known error, but body checks confirm the mass-merge-limits and stuck-jobs docs do not cover the printDoc/Combine All failure."
